exercise_id,name,target_muscle,body_part,equipment,secondary_muscles,instructions,image_endpoint,gif_url,local_gif_path,local_thumbnail_path
0014,Assisted Motion Russian Twist,abs,waist,medicine ball,"obliques, lower back","Sit on the ground with your knees bent and feet flat on the floor. | Hold the medicine ball with both hands in front of your chest. | Lean back slightly, engaging your abs and keeping your back straight. | Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body. | Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body. | Continue alternating sides for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0014&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0014.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0014.jpg
0015,Assisted Parallel Close Grip Pull-Up,lats,back,leverage machine,"biceps, forearms","Adjust the machine to your desired weight and height. | Place your hands on the parallel bars with a close grip, palms facing each other. | Hang from the bars with your arms fully extended and your feet off the ground. | Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body. | Continue pulling until your chin is above the bars. | Pause for a moment at the top, then slowly lower your body back down to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0015&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0015.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0015.jpg
0016,Assisted Prone Hamstring,hamstrings,upper legs,assisted,"glutes, lower back","Lie face down on a mat or bench with your legs fully extended. | Have a partner or use a resistance band to secure your ankles. | Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight. | Pause for a moment at the top, then slowly lower your legs back down to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0016&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0016.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0016.jpg
0017,Assisted Pull-Up,lats,back,leverage machine,"biceps, forearms","Adjust the machine to your desired weight and height settings. | Grasp the handles with an overhand grip, slightly wider than shoulder-width apart. | Hang with your arms fully extended and your feet off the ground. | Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body. | Continue pulling until your chin is above the handles. | Pause for a moment at the top, then slowly lower your body back down to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0017&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0017.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0017.jpg
0018,Assisted Standing Triceps Extension (With Towel),triceps,upper arms,assisted (towel),shoulders,"Stand with your feet shoulder-width apart and hold a towel with both hands behind your head. | Keep your elbows close to your ears and your upper arms stationary. | Slowly extend your forearms upward, squeezing your triceps at the top. | Pause for a moment, then slowly lower the towel back down to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0018&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0018.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0018.jpg
0019,Assisted Triceps Dip (Kneeling),triceps,upper arms,leverage machine,"chest, shoulders","Adjust the machine to your desired weight and height. | Kneel down on the pad facing the machine, with your hands gripping the handles. | Lower your body by bending your elbows, keeping your back straight and close to the machine. | Pause for a moment at the bottom, then push yourself back up to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0019&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0019.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0019.jpg
0020,Balance Board,quads,upper legs,body weight,"calves, hamstrings, glutes","Place the balance board on a flat surface. | Step onto the balance board with one foot, ensuring it is centered. | Slowly shift your weight onto the foot on the balance board, keeping your core engaged. | Maintain your balance and stability as you hold the position for a desired amount of time. | Repeat the exercise with the other foot.",https://exercisedb.p.rapidapi.com/image?exerciseId=0020&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0020.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0020.jpg
0022,Barbell Pullover To Press,lats,back,barbell,"triceps, chest, shoulders","Lie flat on a bench with your head at one end and your feet on the ground. | Hold the barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest. | Keeping your arms straight, lower the barbell behind your head in an arc-like motion until you feel a stretch in your lats. | Pause for a moment, then reverse the motion and press the barbell back to the starting position above your chest. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0022&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0022.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0022.jpg
0023,Barbell Alternate Biceps Curl,biceps,upper arms,barbell,forearms,"Stand up straight with your feet shoulder-width apart and hold a barbell in each hand, palms facing forward. | Keep your upper arms stationary and exhale as you curl the weights while contracting your biceps. | Continue to raise the barbells until your biceps are fully contracted and the barbells are at shoulder level. | Hold the contracted position for a brief pause as you squeeze your biceps. | Inhale as you slowly begin to lower the barbells back to the starting position. | Repeat for the desired number of repetitions, alternating arms.",https://exercisedb.p.rapidapi.com/image?exerciseId=0023&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0023.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0023.jpg
0024,Barbell Bench Front Squat,quads,upper legs,barbell,"hamstrings, glutes, calves","Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, just below your collarbone. | Hold the barbell with an overhand grip, keeping your elbows up and your upper arms parallel to the ground. | Lower your body down into a squat position by bending at the knees and hips, keeping your back straight and your chest up. | Pause for a moment at the bottom of the squat, then push through your heels to return to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0024&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0024.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0024.jpg
0025,Barbell Bench Press,pectorals,chest,barbell,"triceps, shoulders","Lie flat on a bench with your feet flat on the ground and your back pressed against the bench. | Grasp the barbell with an overhand grip slightly wider than shoulder-width apart. | Lift the barbell off the rack and hold it directly above your chest with your arms fully extended. | Lower the barbell slowly towards your chest, keeping your elbows tucked in. | Pause for a moment when the barbell touches your chest. | Push the barbell back up to the starting position by extending your arms. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0025&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0025.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0025.jpg
0026,Barbell Bench Squat,quads,upper legs,barbell,"glutes, hamstrings, calves","Set up a barbell on a squat rack at chest height. | Stand facing away from the rack, with your feet shoulder-width apart. | Bend your knees and lower your body down into a squat position, keeping your back straight and chest up. | Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Lift the barbell off the rack and step back, ensuring your feet are still shoulder-width apart. | Lower your body down into a squat, keeping your knees in line with your toes. | Pause for a moment at the bottom, then push through your heels to return to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0026&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0026.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0026.jpg
0027,Barbell Bent Over Row,upper back,back,barbell,"biceps, forearms","Stand with your feet shoulder-width apart and knees slightly bent. | Bend forward at the hips while keeping your back straight and chest up. | Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Pull the barbell towards your lower chest by retracting your shoulder blades and squeezing your back muscles. | Pause for a moment at the top, then slowly lower the barbell back to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0027&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0027.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0027.jpg
0028,Barbell Clean And Press,quads,upper legs,barbell,"hamstrings, glutes, shoulders, triceps","Stand with your feet shoulder-width apart and the barbell on the floor in front of you. | Bend your knees and hinge at the hips to lower down and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Drive through your heels and extend your hips and knees to lift the barbell off the floor, keeping it close to your body. | As the barbell reaches your thighs, explosively extend your hips, shrug your shoulders, and pull the barbell up towards your chest. | As the barbell reaches chest height, quickly drop under it and catch it at shoulder level, with your elbows pointing forward and your palms facing up. | From the catch position, press the barbell overhead by extending your arms and pushing the barbell straight up. | Lower the barbell back down to the starting position and repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0028&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0028.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0028.jpg
0029,Barbell Clean-Grip Front Squat,glutes,upper legs,barbell,"quadriceps, hamstrings, calves, core","Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, with your elbows pointing forward. | Lower your body by bending your knees and pushing your hips back, as if you are sitting back into a chair. | Keep your chest up and your back straight as you lower down, making sure your knees do not go past your toes. | Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. | Pause for a moment at the bottom, then push through your heels to stand back up, extending your hips and knees. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0029&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0029.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0029.jpg
0030,Barbell Close-Grip Bench Press,triceps,upper arms,barbell,"chest, shoulders","Lie flat on a bench with your feet flat on the ground and your back pressed against the bench. | Grasp the barbell with a close grip, slightly narrower than shoulder-width apart. | Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body. | Pause for a moment when the barbell touches your chest. | Push the barbell back up to the starting position, fully extending your arms. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0030&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0030.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0030.jpg
0031,Barbell Curl,biceps,upper arms,barbell,forearms,"Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing forward. | Keep your elbows close to your torso and exhale as you curl the weights while contracting your biceps. | Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level. | Hold the contracted position for a brief pause as you squeeze your biceps. | Inhale as you slowly begin to lower the bar back to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0031&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0031.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0031.jpg
0032,Barbell Deadlift,glutes,upper legs,barbell,"hamstrings, lower back","Stand with your feet shoulder-width apart and the barbell on the ground in front of you. | Bend your knees and hinge at the hips to lower your torso and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Keep your back straight and chest lifted as you drive through your heels to lift the barbell off the ground, extending your hips and knees. | As you stand up straight, squeeze your glutes and keep your core engaged. | Lower the barbell back down to the ground by bending at the hips and knees, keeping your back straight. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0032&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0032.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0032.jpg
0033,Barbell Decline Bench Press,pectorals,chest,barbell,"triceps, shoulders","Lie on a decline bench with your feet secured and your head lower than your hips. | Grasp the barbell with an overhand grip slightly wider than shoulder-width apart. | Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in. | Pause for a moment at the bottom, then push the barbell back up to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0033&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0033.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0033.jpg
0034,Barbell Decline Bent Arm Pullover,lats,back,barbell,"triceps, chest","Lie down on a decline bench with your head lower than your hips and your feet secured. | Hold a barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest. | Lower the barbell behind your head in a controlled manner, keeping your arms slightly bent. | Pause for a moment, then raise the barbell back to the starting position by contracting your lats. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0034&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0034.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0034.jpg
0035,Barbell Decline Close Grip To Skull Press,triceps,upper arms,barbell,"chest, shoulders","Lie on a decline bench with your head lower than your feet and hold a barbell with a close grip. | Lower the barbell towards your forehead by bending your elbows, keeping your upper arms stationary. | Pause for a moment, then extend your arms to press the barbell back up to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0035&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0035.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0035.jpg
0036,Barbell Decline Wide-Grip Press,pectorals,chest,barbell,"triceps, shoulders","Lie on a decline bench with your feet secured and your head lower than your hips. | Grasp the barbell with a wide grip, slightly wider than shoulder-width apart. | Lower the barbell to your chest, keeping your elbows out to the sides. | Push the barbell back up to the starting position, fully extending your arms. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0036&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0036.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0036.jpg
0037,Barbell Decline Wide-Grip Pullover,lats,back,barbell,"triceps, chest","Lie on a decline bench with your head lower than your hips and your feet secured. | Hold a barbell with a wide grip and extend your arms straight above your chest. | Lower the barbell behind your head in a controlled manner, keeping your arms straight. | Pause for a moment, then raise the barbell back to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0037&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0037.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0037.jpg
0038,Barbell Drag Curl,biceps,upper arms,barbell,forearms,"Stand with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing up. | Let the barbell hang at arm's length in front of your thighs. | Keeping your upper arms stationary, curl the barbell up towards your chest by contracting your biceps. | Pause for a moment at the top, then slowly lower the barbell back down to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0038&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0038.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0038.jpg
0039,Barbell Front Chest Squat,glutes,upper legs,barbell,"quadriceps, hamstrings, calves, core","Start by standing with your feet shoulder-width apart, toes slightly turned out. | Hold the barbell in front of your chest with your hands shoulder-width apart, elbows pointing forward. | Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees. | Lower until your thighs are parallel to the ground, or as low as you can comfortably go. | Pause for a moment at the bottom, then push through your heels to return to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0039&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0039.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0039.jpg
0040,Barbell Front Raise And Pullover,pectorals,chest,barbell,"deltoids, triceps","Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down. | Keep your arms straight and raise the barbell in front of you until it reaches shoulder height. | Pause for a moment at the top, then slowly lower the barbell back down to the starting position. | Next, lower the barbell behind your head, keeping your arms straight. | Pause for a moment at the bottom, then raise the barbell back up to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0040&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0040.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0040.jpg
0041,Barbell Front Raise,delts,shoulders,barbell,"biceps, triceps","Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip. | Keep your arms straight and lift the barbell forward and upward until it reaches shoulder level. | Pause for a moment at the top, then slowly lower the barbell back down to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0041&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0041.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0041.jpg
0042,Barbell Front Squat,glutes,upper legs,barbell,"quadriceps, hamstrings, calves, core","Start by standing with your feet shoulder-width apart, toes slightly turned out. | Hold the barbell in front of your shoulders, resting it on your collarbone and shoulders. | Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees. | Lower until your thighs are parallel to the ground, or as low as you can comfortably go. | Pause for a moment at the bottom, then push through your heels to return to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0042&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0042.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0042.jpg
0043,Barbell Full Squat,glutes,upper legs,barbell,"quadriceps, hamstrings, calves, core","Stand with your feet shoulder-width apart, toes slightly turned out. | Hold the barbell across your upper back, resting it on your traps or rear delts. | Engage your core and keep your chest up as you begin to lower your body down. | Bend at the knees and hips, pushing your hips back and down as if sitting into a chair. | Lower yourself until your thighs are parallel to the ground or slightly below. | Keep your knees in line with your toes and your weight in your heels. | Drive through your heels to stand back up, extending your hips and knees. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0043&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0043.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0043.jpg
0044,Barbell Good Morning,hamstrings,upper legs,barbell,lower back,"Start by standing with your feet shoulder-width apart and the barbell resting on your upper back. | Keeping your back straight and your core engaged, hinge forward at the hips, pushing your buttocks back as if you were trying to touch the wall behind you with your glutes. | Lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings. | Pause for a moment, then return to the starting position by squeezing your glutes and pushing your hips forward. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0044&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0044.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0044.jpg
0045,Barbell Guillotine Bench Press,pectorals,chest,barbell,"shoulders, triceps","Lie flat on a bench with your feet flat on the ground and your back pressed against the bench. | Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Lower the barbell slowly towards your neck, keeping your elbows pointed outwards. | Pause for a moment when the barbell is just above your neck. | Push the barbell back up to the starting position, fully extending your arms. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0045&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0045.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0045.jpg
0046,Barbell Hack Squat,glutes,upper legs,barbell,"quadriceps, hamstrings, calves","Start by standing with your feet shoulder-width apart and your toes slightly turned out. | Hold the barbell behind your legs, resting it on your upper thighs. | Lower your body by bending at the knees and hips, keeping your back straight and your chest up. | Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. | Pause for a moment, then push through your heels to return to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0046&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0046.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0046.jpg
0047,Barbell Incline Bench Press,pectorals,chest,barbell,"shoulders, triceps","Set up an incline bench at a 45-degree angle. | Lie down on the bench with your feet flat on the ground. | Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle. | Pause for a moment at the bottom, then push the barbell back up to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0047&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0047.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0047.jpg
0048,Barbell Incline Reverse-Grip Press,triceps,upper arms,barbell,"chest, shoulders","Set up an incline bench at a 45-degree angle. | Lie back on the bench and grasp the barbell with a reverse grip, hands slightly wider than shoulder-width apart. | Unrack the barbell and lower it towards your upper chest, keeping your elbows tucked in. | Pause for a moment at the bottom, then push the barbell back up to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0048&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0048.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0048.jpg
0049,Barbell Incline Row,upper back,back,barbell,"biceps, forearms","Set up an incline bench at a 45-degree angle. | Lie face down on the bench with your chest against the pad and your feet flat on the ground. | Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Keep your back straight and your core engaged. | Pull the barbell towards your chest, squeezing your shoulder blades together. | Pause for a moment at the top, then slowly lower the barbell back to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0049&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0049.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0049.jpg
0050,Barbell Incline Shoulder Raise,serratus anterior,chest,barbell,"deltoids, trapezius","Set up an incline bench at a 45-degree angle. | Sit on the bench with your back against the pad and feet flat on the ground. | Hold a barbell with an overhand grip, slightly wider than shoulder-width apart. | Lift the barbell up to shoulder height, keeping your elbows slightly bent. | Slowly raise the barbell overhead, extending your arms fully. | Pause for a moment at the top, then slowly lower the barbell back to shoulder height. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0050&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0050.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0050.jpg
0051,Barbell Jefferson Squat,glutes,upper legs,barbell,"quadriceps, hamstrings, calves","Stand with your feet shoulder-width apart and toes slightly turned out. | Hold the barbell with an overhand grip, resting it on the front of your body, just below your waist. | Step your left foot forward and your right foot back, keeping your feet shoulder-width apart. | Bend your knees and lower your body down into a squat position, keeping your back straight and chest up. | Push through your heels to stand back up to the starting position. | Repeat the movement, alternating your forward and back foot with each repetition.",https://exercisedb.p.rapidapi.com/image?exerciseId=0051&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0051.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0051.jpg
